scenario,low_f,start_f,midday_f,high_f,precip_pct,wind_mph,weather_code,base_recommendation,cooler_preference_shift_f,cooler_preference_recommendation
"Hot all day, calm","72","74","86","92","0","6","0","Shorts and a T-shirt","7","Shorts and a T-shirt"
"Hot all day, breezy","70","72","84","90","0","16","0","T-shirt and pants","7","T-shirt and pants"
"Warm all day, calm","64","66","76","82","0","8","0","T-shirt and pants","7","Shorts and a T-shirt"
"Warm all day, breezy","63","65","75","81","0","17","0","T-shirt, pants, and a light jacket","7","T-shirt and pants"
"Cool morning, hot afternoon, light wind","49","54","78","82","0","12","0","T-shirt and pants","7","T-shirt and pants"
"Cool morning, hot afternoon, breezy","49","54","78","82","0","17","0","T-shirt and pants","7","T-shirt and pants"
"Cool start, mild afternoon","44","46","63","67","0","10","0","T-shirt, pants, and a jacket","7","T-shirt, pants, and a light jacket"
"Dry but strong wind","52","55","66","70","0","26","0","T-shirt, pants, and a light jacket","7","T-shirt, pants, and a light jacket"
"Mild rain day","56","58","65","71","60","10","63","T-shirt, pants, and a light jacket","7","T-shirt, pants, and a light jacket"
"Warm rain day","62","64","74","79","55","9","63","T-shirt, pants, and a light jacket","7","T-shirt, pants, and a light jacket"
"Storm chance day","60","62","73","78","75","14","95","T-shirt, pants, and a jacket","7","T-shirt, pants, and a jacket"
"Cold dry day","30","32","40","44","0","10","0","T-shirt, pants, and a jacket","7","T-shirt, pants, and a jacket"
"Very cold day","8","10","19","24","0","8","0","Warm long sleeves, pants, and a heavy coat","7","Warm long sleeves, pants, and a heavy coat"
"Snow day","24","26","30","34","70","12","73","T-shirt, pants, and a heavy coat","7","T-shirt, pants, and a jacket"
"Warm sunny weekend","61","64","80","85","0","7","0","Shorts and a T-shirt","7","Shorts and a T-shirt"
"Hot but overnight-cool","58","61","82","88","0","9","0","T-shirt and pants","7","Shorts and a T-shirt"
"Chilly dawn, warm later","41","47","71","76","0","9","0","T-shirt, pants, and a light jacket","7","T-shirt and pants"
"Chilly dawn and windy later","41","47","71","76","0","18","0","T-shirt, pants, and a light jacket","7","T-shirt and pants"
